lapsed,age,sex,region,nregions,memtype,memmonths,mem_mag1,mem_mag2,hasemail,r1,r2,r3,r.quick,extra,intl,r.intl,allgames1yr,allgames5yr,fastevents,medevents,slowevents,nfloor
N,71,M,reg142,1,N,276,Y,N,Y,3009,3010,3010,NA,N,N,NA,0,0,0,0,0,0
N,37,M,reg137,1,N,64,Y,N,Y,NA,1631,1634,2252,N,N,NA,0,5,0,1,0,0
Y,36,M,reg130,1,N,20,N,N,N,NA,NA,NA,NA,N,N,NA,2,2,0,0,1,0
Y,18,M,reg147,1,F,322,Y,N,Y,1982,1928,1907,2352,N,N,NA,5,63,0,10,3,0
N,19,F,reg135,1,F,223,N,N,Y,2655,2654,2657,3519,N,Y,NA,19,164,13,34,10,0
Y,11,M,reg154,1,N,82,N,N,Y,1400,1565,1748,2433,N,N,NA,20,67,0,17,2,0
Y,7,M,reg133,1,N,5,N,Y,Y,NA,NA,194,272,N,N,NA,4,4,0,1,0,0
N,7,M,reg150,1,N,5,N,N,Y,NA,NA,375,502,N,N,NA,9,9,0,2,0,0
Y,61,M,reg102,1,N,330,Y,N,N,2748,2748,2751,NA,N,N,NA,0,0,0,0,0,0
Y,13,M,reg132,1,F,106,N,N,Y,1382,1186,1339,1911,N,N,NA,10,62,0,11,1,0
Y,8,F,reg114,1,N,48,N,N,Y,NA,NA,938,1327,N,N,NA,4,7,1,2,0,0
N,52,M,reg143,1,N,312,Y,N,Y,3179,3182,3181,NA,N,N,NA,0,0,0,0,0,0
N,6,M,reg111,1,F,11,N,N,N,NA,NA,194,NA,N,N,NA,7,7,0,0,1,0
Y,12,M,reg106,1,N,19,N,N,N,NA,NA,192,273,N,N,NA,4,4,0,1,0,0
N,13,F,reg101,2,N,115,N,Y,Y,1972,2028,2144,2952,N,Y,NA,29,186,3,36,6,0
N,11,M,reg123,2,N,165,Y,N,Y,1212,1308,1324,1900,N,N,NA,10,71,1,15,1,0
N,58,M,reg149,1,N,10,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,12,M,reg147,1,N,17,N,N,N,NA,NA,410,564,N,N,NA,21,21,0,4,0,0
Y,14,M,reg127,1,N,73,N,N,N,1473,1574,1541,2106,N,N,NA,7,26,0,6,0,0
Y,14,M,reg127,1,N,134,N,N,Y,1584,1786,1687,1992,N,N,NA,3,53,2,15,2,0
N,8,M,reg137,1,N,36,N,N,Y,NA,960,1348,1939,N,N,NA,63,70,0,12,3,0
N,12,M,reg137,1,N,41,N,N,Y,NA,618,930,1313,N,N,NA,22,26,0,6,0,0
Y,9,M,reg137,1,N,12,N,N,Y,NA,NA,351,501,N,N,NA,5,5,0,1,0,0
Y,9,F,reg154,1,N,21,N,Y,N,NA,NA,426,649,N,N,NA,4,4,0,1,0,0
N,12,M,reg111,1,N,100,N,Y,Y,593,1371,1394,1403,N,N,NA,5,23,0,5,1,0
Y,10,M,reg127,1,N,20,N,Y,N,NA,NA,1658,2172,N,N,NA,40,40,0,7,0,0
Y,74,F,reg114,1,N,18,Y,N,N,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
Y,34,M,reg123,1,N,347,Y,N,Y,3658,3631,3573,4688,N,Y,3692,38,246,5,3,56,0
N,13,M,reg112,1,N,104,N,Y,Y,1695,1614,1614,2219,N,N,NA,0,79,0,17,2,0
Y,14,M,reg132,1,N,22,N,N,Y,NA,NA,1423,1941,N,N,NA,34,34,0,6,2,0
Y,11,M,reg128,1,N,4,N,Y,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,12,M,reg112,1,A,112,N,N,N,1476,1812,2339,3314,N,N,NA,42,100,0,19,0,0
Y,6,NA,reg127,1,N,9,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,60,M,reg102,1,N,174,Y,N,Y,2349,2271,2368,NA,N,N,NA,4,15,0,0,5,0
Y,8,M,reg111,1,F,10,N,N,Y,NA,NA,410,795,N,N,NA,10,10,1,2,1,0
N,67,M,reg127,1,N,58,Y,N,Y,2591,2592,2593,NA,N,N,NA,0,0,0,0,0,0
N,17,M,reg138,1,N,44,N,N,Y,NA,1545,2113,2421,N,N,NA,12,29,0,3,2,0
N,8,M,reg129,1,N,54,N,N,Y,NA,711,1068,1490,N,N,NA,15,27,0,7,0,0
N,16,M,reg154,1,F,332,Y,N,Y,3859,4040,4102,5433,N,Y,3901,65,447,16,49,50,0
N,11,M,reg102,1,N,139,Y,N,Y,1672,1883,2085,2740,N,N,NA,54,208,35,41,7,0
N,15,M,reg143,1,N,193,N,N,Y,1387,1658,1963,2540,N,N,NA,25,38,0,4,5,0
N,9,M,reg126,1,N,46,N,N,Y,NA,1254,1410,2206,N,N,NA,36,57,0,12,0,0
N,22,M,reg137,1,N,190,N,N,Y,3320,3448,3487,4500,N,Y,3408,11,188,7,29,17,0
N,6,M,reg112,1,N,22,N,N,N,NA,NA,229,326,N,N,NA,27,27,0,5,0,0
N,15,M,reg114,1,N,49,N,N,Y,NA,1342,1692,1986,N,N,NA,17,34,2,5,3,0
Y,10,M,reg142,1,N,7,N,N,Y,NA,NA,743,1033,N,N,NA,4,4,0,2,0,0
N,8,M,reg127,1,N,81,N,N,Y,372,837,1198,1758,N,N,NA,16,45,0,11,0,0
N,12,M,reg133,1,F,10,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,12,M,reg145,1,N,54,N,N,Y,NA,740,972,1339,N,N,NA,45,71,0,17,0,0
Y,14,M,reg112,1,N,224,N,N,Y,2106,1901,1776,2773,N,N,NA,47,252,0,40,5,0
Y,20,M,reg137,1,N,65,Y,N,Y,2269,2461,2595,3463,N,N,NA,15,66,0,7,8,0
Y,12,NA,reg114,1,N,5,N,N,N,NA,NA,224,300,N,N,NA,4,4,0,1,0,0
Y,9,M,reg114,1,N,53,N,Y,Y,NA,188,188,263,N,N,NA,0,4,0,1,0,0
Y,7,F,reg102,1,N,11,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,29,M,reg127,2,N,128,N,N,Y,1576,1576,1924,NA,N,Y,NA,13,20,0,1,3,0
Y,9,M,reg114,1,N,14,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,9,NA,reg114,1,N,7,N,N,N,NA,NA,482,684,N,N,NA,4,4,0,1,0,0
Y,11,F,reg118,1,N,9,N,N,Y,NA,NA,191,NA,N,N,NA,7,7,0,0,2,1
N,11,M,reg102,1,A,44,N,N,N,NA,1285,2336,3284,N,N,NA,108,151,2,32,3,0
Y,53,M,reg142,1,N,1054,Y,N,N,3129,3130,3127,4336,N,N,NA,0,14,1,0,3,0
Y,12,M,reg142,1,N,72,N,Y,Y,728,728,709,985,N,N,NA,5,12,0,2,2,0
N,51,M,reg105,1,N,631,N,N,Y,3184,3167,3126,3920,Y,Y,NA,32,76,0,0,21,0
N,9,M,reg102,1,A,98,N,N,Y,1160,1259,1408,1882,N,N,NA,20,138,1,29,4,0
N,12,M,reg102,1,N,130,N,Y,N,1777,1514,2226,2413,N,N,NA,86,296,0,46,67,0
Y,14,M,reg112,1,N,4,N,N,Y,188,189,378,537,N,N,NA,4,9,0,2,0,0
Y,12,M,reg112,1,N,112,N,N,N,1243,1186,1361,1945,N,N,NA,24,78,0,13,1,0
N,29,M,reg154,1,N,56,N,N,Y,NA,2462,2494,3794,N,N,NA,13,23,15,2,5,0
Y,19,M,reg150,1,N,39,N,N,Y,NA,2061,1921,2566,N,N,NA,4,8,0,2,0,0
Y,13,M,reg127,1,N,68,N,N,N,NA,NA,1361,1898,N,N,NA,9,9,0,1,1,0
N,9,M,reg143,1,F,58,N,N,Y,NA,787,2154,2240,N,Y,NA,107,124,0,19,12,0
N,59,M,reg150,1,N,63,Y,N,Y,NA,1455,1519,NA,N,N,NA,15,32,0,0,6,0
Y,10,M,reg137,1,N,73,N,Y,Y,NA,199,386,535,N,N,NA,12,18,0,3,0,0
Y,69,M,reg114,1,N,52,Y,N,N,NA,NA,1096,1455,N,N,NA,3,6,0,2,0,0
Y,53,M,reg117,1,N,17,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,7,M,reg112,1,N,20,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,11,F,reg119,1,N,50,N,N,Y,NA,345,439,627,N,N,NA,17,33,0,8,0,0
Y,11,M,reg111,1,N,39,N,N,Y,NA,668,668,947,N,N,NA,0,4,0,3,0,1
Y,13,F,reg126,1,N,131,N,N,N,218,473,706,1009,N,N,NA,5,40,0,8,0,0
N,20,M,reg150,1,N,317,Y,N,N,2835,3078,3036,2718,N,Y,NA,7,166,1,4,36,0
Y,12,NA,reg114,1,N,10,N,N,N,NA,NA,1423,2020,N,N,NA,4,4,0,1,0,0
Y,11,F,reg123,1,N,99,N,N,Y,1269,1449,1397,1944,N,N,NA,10,67,1,11,2,0
Y,10,F,reg127,1,N,5,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,16,M,reg102,1,N,166,N,N,N,3118,3066,3259,4444,N,Y,NA,93,568,6,133,15,2
N,10,M,reg102,1,A,12,N,Y,Y,NA,NA,1083,1221,N,N,NA,16,16,0,1,2,0
Y,11,M,reg132,1,N,16,N,Y,Y,NA,NA,315,449,N,N,NA,5,5,0,1,0,0
N,46,F,reg114,1,F,14,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,52,M,reg137,1,N,307,Y,N,N,2826,2825,2825,NA,N,N,NA,0,0,0,0,0,0
Y,20,M,reg126,1,N,378,N,N,Y,2565,2618,2601,3679,N,N,NA,4,165,52,36,6,3
Y,61,M,reg106,1,N,319,Y,N,Y,2891,2888,2891,NA,N,N,NA,0,0,0,0,0,0
Y,10,M,reg112,1,N,15,N,N,Y,NA,NA,1528,2165,N,N,NA,88,88,0,23,1,0
N,13,M,reg102,1,N,191,N,N,Y,2119,2389,2416,3247,N,N,NA,46,265,2,45,17,0
Y,9,M,reg133,1,N,34,N,Y,Y,NA,804,867,1135,N,N,NA,32,37,0,9,0,0
Y,8,NA,reg132,1,N,0,N,N,N,NA,NA,NA,NA,N,N,NA,5,5,0,1,0,0
N,22,M,reg147,1,N,76,N,N,N,2316,2317,2319,2393,N,N,NA,0,14,0,1,2,0
N,17,M,reg137,1,F,373,Y,N,Y,1927,1928,1926,2698,N,N,NA,0,0,0,0,0,0
N,13,M,reg135,1,N,80,N,Y,Y,619,1371,1387,1990,N,N,NA,57,121,1,30,3,0
Y,12,F,reg145,1,F,14,N,N,N,NA,NA,192,265,N,N,NA,4,4,0,1,0,0
N,NA,M,reg145,1,N,101,N,N,N,1919,1919,2571,3327,N,N,NA,27,31,0,7,2,0
N,16,M,reg147,1,A,231,N,N,Y,1732,1783,1696,2350,N,N,NA,14,98,0,20,1,0
Y,35,M,reg113,1,N,454,N,N,N,2596,2598,2528,3543,N,N,NA,4,4,0,1,0,0
Y,34,M,reg129,1,N,262,Y,N,Y,2060,2058,2059,2511,N,N,NA,0,0,0,0,0,0
Y,10,M,reg114,1,N,7,N,N,N,NA,NA,929,1303,N,N,NA,4,4,0,1,0,0
Y,14,M,reg137,1,N,50,Y,N,Y,NA,916,800,1118,N,N,NA,7,15,0,4,0,0
N,7,M,reg142,1,N,1,N,N,Y,NA,NA,483,689,N,N,NA,0,0,0,0,0,0
Y,15,M,reg112,1,N,2,N,N,N,NA,NA,186,264,N,N,NA,0,0,0,0,0,0
N,32,M,reg142,2,N,189,N,N,Y,3079,3071,3161,3972,N,Y,NA,38,205,0,11,40,0
Y,16,M,reg140,1,N,8,N,N,N,NA,NA,343,NA,N,N,NA,7,7,0,0,1,0
Y,18,M,reg127,1,N,10,Y,N,N,NA,NA,952,1299,N,N,NA,10,10,0,2,0,0
Y,15,M,reg112,1,N,82,N,N,N,1424,1679,1838,2626,N,N,NA,10,54,0,10,0,0
Y,32,M,reg117,1,N,464,Y,N,Y,2512,2596,2691,3203,Y,Y,NA,10,22,0,1,13,0
Y,10,M,reg102,1,F,101,Y,N,Y,833,1468,2024,2755,N,N,NA,68,135,0,35,0,0
Y,19,M,reg111,1,N,275,Y,N,N,3247,3343,3331,4408,N,Y,NA,62,237,4,28,22,0
Y,50,M,reg114,1,N,642,Y,N,Y,2883,2879,2879,NA,Y,N,NA,0,0,0,0,0,0
Y,10,M,reg102,1,N,18,N,N,N,NA,NA,747,1044,N,N,NA,11,11,0,3,0,0
Y,12,M,reg112,1,N,69,N,N,Y,832,1503,1357,1928,N,N,NA,26,87,0,24,0,0
Y,11,M,reg102,1,N,115,Y,N,Y,2448,2480,2698,3459,N,N,NA,101,448,1,81,33,0
N,14,M,reg132,2,F,236,N,N,N,920,1125,1129,1623,N,N,NA,0,182,1,40,3,0
N,10,M,reg112,1,F,135,N,N,Y,1135,893,1175,1702,N,N,NA,22,114,0,18,2,0
Y,8,M,reg102,1,N,17,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,19,M,reg140,1,N,373,Y,N,Y,2619,2676,2554,3348,N,N,NA,16,103,3,16,5,0
Y,8,M,reg114,2,N,17,N,N,N,NA,NA,414,595,N,N,NA,5,5,0,1,0,0
N,10,M,reg154,1,N,19,N,Y,N,NA,NA,548,770,N,N,NA,21,21,0,5,0,0
N,13,M,reg102,1,N,167,N,N,Y,2066,2064,2066,2687,N,N,NA,0,145,0,36,2,0
Y,19,M,reg114,1,N,253,Y,N,Y,2417,2415,2414,2886,N,N,NA,0,48,0,2,9,0
Y,7,F,reg150,1,N,19,N,N,Y,NA,NA,196,270,N,N,NA,4,4,0,1,0,0
Y,43,M,reg154,1,F,96,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,5,M,reg112,1,N,4,N,N,Y,NA,NA,327,455,N,N,NA,10,10,0,3,0,0
N,11,M,reg127,1,N,12,N,N,Y,NA,NA,1318,1812,N,N,NA,5,5,0,1,0,0
N,42,M,reg154,1,N,484,N,N,Y,2935,2987,3063,4024,N,Y,NA,85,277,21,60,23,0
Y,18,M,reg146,1,N,134,N,N,Y,1703,1604,1667,2038,N,N,NA,8,102,1,3,18,0
Y,11,M,reg102,1,N,101,N,N,Y,1617,1870,1783,2573,N,N,NA,0,181,7,43,3,0
Y,8,M,reg140,1,N,15,N,Y,Y,NA,NA,1731,2455,N,N,NA,8,8,0,2,0,0
Y,19,F,reg132,1,A,23,N,N,N,NA,NA,374,540,N,N,NA,7,7,0,2,0,0
N,58,M,reg102,1,N,560,Y,N,Y,3147,3136,3152,NA,N,N,NA,6,44,0,0,7,1
N,59,M,reg127,1,N,294,N,N,Y,3421,3448,3469,5020,N,Y,NA,18,130,3,0,36,5
Y,28,M,reg150,1,N,6,Y,N,Y,NA,NA,1820,2210,N,N,NA,9,9,0,2,1,0
Y,18,F,reg127,1,N,20,N,N,N,NA,NA,1234,1653,N,N,NA,18,18,0,7,0,0
Y,17,M,reg132,1,N,14,N,N,Y,NA,NA,972,1247,N,N,NA,29,29,0,6,0,0
N,12,M,reg127,1,N,36,N,N,N,NA,1128,1898,2617,N,Y,NA,38,47,0,9,1,0
N,12,M,reg106,1,A,43,N,N,Y,NA,928,1838,2181,N,N,NA,85,109,2,23,2,0
N,8,M,reg112,1,N,23,N,N,Y,NA,NA,868,1241,N,N,NA,18,18,0,4,0,0
Y,9,NA,reg106,1,N,10,N,N,N,NA,NA,NA,NA,N,N,NA,2,2,0,1,0,1
N,26,M,reg103,2,N,249,Y,N,Y,2994,3098,3102,4148,N,Y,NA,18,242,3,9,53,0
Y,59,M,reg147,2,N,280,Y,N,Y,3006,3006,3007,NA,N,N,NA,0,0,0,0,0,0
N,11,M,reg127,2,N,137,N,Y,Y,2277,2525,2633,3848,N,Y,NA,81,356,4,74,12,0
N,12,M,reg102,1,N,101,N,N,N,1934,2071,2351,3072,N,N,NA,45,187,5,38,5,0
N,12,M,reg137,1,N,173,N,Y,Y,2933,3064,3374,4280,N,Y,2912,59,497,5,67,45,0
N,8,M,reg101,1,N,18,N,N,Y,NA,NA,575,811,N,N,NA,8,8,0,2,0,0
Y,8,M,reg112,1,N,7,N,N,N,NA,NA,244,344,N,N,NA,7,7,0,2,0,0
N,60,M,reg132,1,N,12,N,N,Y,NA,NA,3197,4265,N,N,NA,4,4,0,1,0,0
N,8,M,reg143,1,N,4,N,N,Y,NA,NA,684,966,N,N,NA,9,9,0,1,1,0
Y,14,M,reg127,1,N,70,N,N,Y,1574,1573,1544,2172,N,N,NA,6,11,0,3,0,0
N,11,M,reg102,1,N,78,N,Y,Y,655,602,603,844,N,N,NA,0,11,0,3,0,0
Y,10,M,reg136,1,N,9,N,Y,Y,NA,NA,1374,NA,N,N,NA,7,7,1,0,1,0
Y,9,M,reg143,3,N,17,N,N,N,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
N,13,M,reg154,1,N,65,N,N,Y,NA,1636,1812,2665,N,N,NA,120,177,12,46,0,0
Y,55,M,reg127,1,N,57,N,N,Y,3898,3857,3748,4996,N,N,NA,63,100,2,33,0,0
N,58,M,reg143,1,N,566,Y,N,Y,1924,1923,1923,2864,N,Y,NA,0,11,0,2,7,0
Y,10,M,reg114,1,N,45,N,N,Y,NA,321,227,320,N,N,NA,0,5,0,3,0,0
N,9,M,reg102,1,N,41,N,N,Y,NA,600,1223,1700,N,N,NA,12,16,0,4,0,0
Y,10,M,reg112,1,A,9,N,N,N,NA,NA,1236,1738,N,N,NA,25,25,0,7,0,0
Y,11,M,reg127,1,N,114,N,N,Y,1851,1983,2184,2692,N,Y,NA,55,176,0,34,9,0
N,13,M,reg147,1,N,11,N,N,Y,NA,NA,804,1107,N,N,NA,5,5,0,1,0,0
Y,15,M,reg112,1,N,50,N,N,N,NA,372,443,635,N,N,NA,5,15,0,3,0,0
Y,73,M,reg142,1,N,4,Y,N,Y,NA,NA,NA,NA,N,N,NA,2,2,0,0,1,0
N,49,M,reg102,1,F,31,Y,N,Y,NA,NA,1789,NA,N,N,NA,4,4,0,0,1,0
Y,59,M,reg142,1,N,193,Y,N,Y,3879,3922,3918,5396,N,Y,3914,6,23,0,3,3,0
N,42,M,reg112,1,N,280,N,N,Y,2975,2991,3007,3814,N,N,NA,9,29,0,1,6,0
Y,8,M,reg143,1,N,17,N,N,N,NA,NA,200,283,N,N,NA,5,5,0,1,0,0
N,18,M,reg112,1,N,207,N,N,Y,3306,3325,3523,4883,N,Y,2856,103,897,6,167,45,0
Y,62,F,reg111,1,N,469,Y,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,10,M,reg133,1,N,54,N,N,Y,NA,333,270,329,N,N,NA,9,21,0,6,0,0
Y,61,M,reg127,1,N,6,N,N,N,2493,2494,2444,NA,N,N,NA,4,4,0,0,1,0
N,19,F,reg102,1,N,286,N,N,Y,3505,3558,3632,4628,N,Y,3447,30,518,1,45,81,0
Y,13,M,reg140,1,F,176,Y,N,Y,1757,1672,1674,2355,N,N,NA,0,113,0,26,0,0
Y,18,M,reg126,1,N,236,N,N,Y,1662,1663,1774,2516,N,N,NA,8,87,2,19,0,0
N,45,M,reg112,1,N,545,N,N,Y,2161,2460,2461,3586,N,Y,NA,0,10,1,0,3,0
Y,20,M,reg155,1,N,408,N,N,Y,3201,3292,3231,4561,N,Y,NA,6,112,4,11,20,0
Y,8,F,reg132,1,A,50,N,N,N,NA,906,847,1192,N,N,NA,5,27,0,3,1,0
Y,72,M,reg132,2,N,424,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,3,0,1,0,0
Y,23,M,reg127,1,N,99,N,N,Y,3002,2984,2981,NA,N,Y,NA,0,27,0,0,6,0
N,10,F,reg106,1,N,10,N,N,Y,NA,NA,666,918,N,N,NA,13,13,0,3,0,0
Y,18,M,reg144,1,N,70,N,N,N,971,1001,1310,1820,N,N,NA,8,16,0,4,0,0
Y,13,M,reg128,1,F,259,N,N,Y,1056,1031,1318,1511,N,N,NA,6,62,0,10,2,0
N,14,M,reg112,1,N,135,N,N,Y,1552,1593,1754,2478,N,N,NA,47,178,0,31,2,0
Y,10,M,reg126,1,N,73,N,N,Y,1599,1878,2221,3176,N,N,NA,99,203,0,44,11,0
N,14,M,reg127,1,N,53,N,N,Y,NA,1252,2093,2828,N,N,NA,41,54,0,10,1,0
Y,12,F,reg150,1,N,14,N,N,Y,NA,NA,631,868,N,N,NA,15,15,0,2,1,0
Y,26,M,reg147,2,N,195,N,N,N,2802,2810,2928,4068,N,Y,NA,40,89,10,1,33,0
Y,11,F,reg148,1,N,26,N,Y,N,NA,NA,NA,NA,N,N,NA,3,3,0,1,0,0
N,16,F,reg140,1,N,260,Y,N,Y,1837,2003,1743,2493,N,N,NA,56,249,0,60,2,0
Y,17,M,reg137,1,N,70,N,N,Y,1654,1971,2171,2559,N,N,NA,21,39,2,5,5,0
Y,43,F,reg111,1,F,22,N,N,N,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,49,M,reg132,1,N,261,Y,N,Y,2295,2444,2415,3279,N,N,NA,18,38,3,0,11,0
Y,42,M,reg114,1,N,535,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
N,65,M,reg132,2,N,535,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,8,M,reg102,1,N,50,N,N,N,NA,874,1026,1500,N,N,NA,13,36,0,9,0,0
Y,9,M,reg114,1,N,26,N,N,Y,NA,NA,766,1164,N,N,NA,21,21,8,4,1,0
N,17,M,reg154,1,N,222,N,N,Y,1520,1377,1550,2174,N,N,NA,12,75,0,25,0,0
Y,10,F,reg127,1,N,30,N,N,N,NA,526,841,1186,N,N,NA,4,10,0,2,0,0
Y,42,M,reg128,1,N,146,N,N,N,1716,1717,1716,2981,N,N,NA,0,5,9,1,0,0
N,73,M,reg132,1,N,451,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,13,M,reg112,1,N,13,N,N,Y,NA,NA,504,711,N,N,NA,16,16,0,4,0,0
Y,14,M,reg112,1,N,14,N,N,Y,NA,NA,1086,1840,N,N,NA,13,13,0,1,1,0
N,75,M,reg112,1,N,626,Y,N,Y,3228,3232,3257,NA,N,Y,NA,11,41,0,0,8,0
Y,11,M,reg118,1,N,17,N,N,N,NA,NA,194,273,N,N,NA,6,6,0,1,0,0
N,8,F,reg112,1,N,6,N,N,N,NA,NA,199,300,N,N,NA,5,5,0,1,0,0
Y,15,M,reg135,1,N,57,N,N,N,NA,444,382,898,N,N,NA,4,34,42,11,0,0
Y,8,M,reg117,1,N,10,N,N,Y,NA,NA,264,274,N,N,NA,4,4,0,1,0,0
Y,27,F,reg112,1,N,23,Y,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,12,M,reg102,1,N,44,N,N,N,NA,784,614,NA,N,N,NA,10,16,0,0,4,0
N,11,M,reg150,1,N,5,N,Y,Y,NA,NA,1536,2168,N,N,NA,9,9,0,2,0,0
N,70,M,reg154,1,N,275,Y,N,Y,2166,2166,2166,3052,N,N,NA,0,2,0,2,1,0
N,14,M,reg106,1,N,54,Y,N,Y,NA,1026,1076,1380,N,N,NA,26,41,0,8,1,0
N,7,M,reg126,1,N,12,N,N,N,NA,NA,201,278,N,N,NA,8,8,0,3,0,0
N,8,M,reg137,1,N,6,N,Y,N,NA,NA,607,852,N,N,NA,4,4,0,1,0,0
N,61,F,reg101,1,N,177,Y,N,Y,582,579,583,810,N,N,NA,0,37,0,13,0,0
Y,12,M,reg112,1,N,18,N,N,N,NA,NA,384,506,N,N,NA,10,10,0,2,0,0
N,40,M,reg142,2,N,550,Y,N,Y,2676,2856,3120,3509,N,N,NA,34,148,0,5,39,0
Y,12,M,reg114,1,N,14,N,N,Y,NA,NA,NA,NA,N,N,NA,3,3,0,2,0,0
Y,8,M,reg142,1,N,20,N,N,Y,NA,NA,NA,NA,N,N,NA,0,0,0,0,0,0
Y,13,M,reg102,1,N,196,N,N,Y,1346,1317,1225,1692,N,N,NA,3,71,0,16,1,0
N,16,M,reg112,1,N,282,N,N,Y,1163,1482,1576,2216,N,N,NA,20,81,0,11,5,0
N,13,M,reg133,1,N,166,N,Y,Y,1480,1806,2045,2955,N,N,NA,26,144,0,22,6,0
Y,39,M,reg103,1,N,571,N,N,Y,242,246,244,372,Y,N,NA,0,8,0,2,1,0
